title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
宝马3系 2017款 320i M运动型,华晨宝马,2017-08,1.73,自动,2.0T,23.04,34.70,广州,2017款,中型,0,184马力,汽油,4650,1811,1454,,前置后驱
日产 轩逸 2012款 经典 1.6XE 自动舒适版,东风日产,2015-08,7.12,自动,1.6L,5.63,5.74,广州,2012款,紧凑型,0,117马力,汽油,4665,1700,1505,,前置前驱
别克 昂科威 2014款 28T 四驱全能运动旗舰型,上汽通用别克,2015-06,5.98,自动,2.0T,14.51,38.00,广州,2014款,中型,1,260马力,汽油,4667,1839,1696,,前置四驱
本田CR-V 2012款 2.0L 两驱都市版,东风本田,2013-05,8.47,自动,2.0L,11.44,11.61,广州,2012款,紧凑型,1,155马力,汽油,4550,1820,1685,,前置前驱
丰田 雷凌 2015款 1.6G CVT橙色限量版,广汽丰田,2015-05,4.7,自动,1.6L,7.65,8.07,广州,2015款,紧凑型,0,122马力,汽油,4630,1775,1480,,前置前驱
奥迪A1 2012款 1.4 TFSI Ego(进口),奥迪(进口),2012-10,5.06,自动,1.4T,9.07,27.10,广州,2012款,小型,0,122马力,汽油,3954,1740,1416,,前置前驱
标致301 2016款 1.6L 手动舒适版,东风标致,2016-09,3.71,手动,1.6L,4.30,9.30,广州,2016款,紧凑型,0,117马力,汽油,4442,1748,1476,,前置前驱
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,上汽大众,2015-01,2.85,自动,1.6L,6.90,13.60,广州,2013款,紧凑型,0,110马力,汽油,4605,1765,1460,,前置前驱
别克 昂科拉 2015款 1.4T 自动两驱都市精英型,上汽通用别克,2015-12,2.58,自动,1.4T,7.70,16.30,广州,2015款,小型,1,140马力,汽油,4278,1774,1646,,前置前驱
别克 英朗 2013款 GT 1.6L 自动时尚版,上汽通用别克,2013-12,3.79,自动,1.6L,6.77,16.60,广州,2013款,紧凑型,0,121马力,汽油,4671,1815,1478,,前置前驱
奥迪A4L 2015款 35 TFSI 自动标准型,一汽-大众奥迪,2015-09,3.69,自动,2.0T,18.46,34.00,广州,2015款,中型,0,180马力,汽油,4761,1826,1439,,前置前驱
丰田 卡罗拉 2014款 1.6L CVT GL,一汽丰田,2015-05,2.2,自动,1.6L,8.23,12.80,广州,2014款,紧凑型,0,122马力,汽油,4630,1775,1480,,前置前驱
别克 英朗 2010款 GT 1.6L 自动时尚版,上汽通用别克,2011-09,8.53,自动,1.6L,4.56,16.60,广州,2010款,紧凑型,0,121马力,汽油,4671,1815,1478,,前置前驱
现代 朗动 2015款 1.6L 自动领先型,北京现代,2015-06,4.41,自动,1.6L,6.80,13.90,广州,2015款,紧凑型,0,128马力,汽油,4570,1775,1445,,前置前驱
斯柯达 晶锐 2012款 1.6L 自动酷黑版,上汽斯柯达,2012-06,6.49,自动,1.6L,3.49,11.80,广州,2012款,小型,0,105马力,汽油,4003,1642,1500,,前置前驱
标致408 2015款 1.2T 自动豪华版,东风标致,2015-12,9.38,自动,1.2T,6.89,7.15,广州,2015款,紧凑型,0,136马力,汽油,4750,1820,1488,,前置前驱
纳智捷 优6 SUV 2014款 1.8T 魅力型,东风裕隆,2014-09,3.07,自动,1.8T,4.94,5.05,广州,2014款,紧凑型,1,158马力,汽油,4625,1825,1620,,前置前驱
大众 宝来 2016款 1.6L 自动时尚型,一汽-大众,2016-11,10.47,自动,1.6L,7.00,13.00,广州,2016款,紧凑型,0,110马力,汽油,4562,1793,1468,,前置前驱
大众 途观L 2017款 380TSI 自动四驱豪华版,上汽大众,2017-07,3.1,自动,2.0T,21.68,22.32,广州,2017款,中型,1,220马力,汽油,4712,1839,1673,,前置四驱
本田 冠道 2017款 370TURBO 四驱至尊版,广汽本田,2017-06,3.95,自动,2.0T,25.20,25.98,广州,2017款,中型,1,272马力,汽油,4816,1942,1669,,前置四驱
丰田 威驰FS 2017款 1.5L CVT锋驰版,一汽丰田,2017-07,1.72,自动,1.5L,6.17,6.39,广州,2017款,小型,0,107马力,汽油,4140,1700,1495,,前置前驱
斯柯达 昊锐 2013款 1.4TSI GreenLine2,上汽斯柯达,2013-12,7.33,自动,1.4T,7.44,21.70,广州,2013款,中型,0,131马力,汽油,4838,1817,1462,,前置前驱
别克 英朗 2013款 GT 1.6L 自动时尚版,上汽通用别克,2014-08,7.24,自动,1.6L,5.95,16.60,广州,2013款,紧凑型,0,121马力,汽油,4671,1815,1478,,前置前驱
MG3 2016款 1.3L AMT舒适版,上汽集团,2017-07,1.13,自动,1.3L,4.90,7.70,广州,2016款,小型,0,92马力,汽油,4018,1728,1517,,前置前驱
吉利 博瑞 2017款 2.4L 舒适型,吉利汽车,2018-02,1.73,自动,2.4L,9.09,9.44,广州,2017款,中型,0,162马力,汽油,4956,1861,1513,,前置前驱
