title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
大众 速腾 2015款 230TSI 自动舒适型,一汽-大众,2016-05,4.42,自动,1.4T,9.90,17.50,北京,2015款,紧凑型,0,131马力,汽油,4655,1780,1453,,前置前驱
大众 朗行 2013款 1.6L 自动舒适型,上汽大众,2014-06,3.98,自动,1.6L,7.27,15.30,北京,2013款,紧凑型,0,110马力,汽油,4454,1765,1460,,前置前驱
大众 朗逸 2011款 1.6L 手动品雅版,上汽大众,2012-07,1.51,手动,1.6L,4.90,13.30,北京,2011款,紧凑型,0,105马力,汽油,4608,1743,1465,,前置前驱
雪佛兰 科鲁兹 2013款 1.8L SE AT,上汽通用雪佛兰,2013-12,4.65,自动,1.8L,4.77,14.90,北京,2013款,紧凑型,0,147马力,汽油,4598,1797,1477,,前置前驱
别克GL8 2014款 2.4L 经典版,上汽通用别克,2014-09,14.53,自动,2.4L,9.15,22.70,北京,2014款,MPV,0,167马力,汽油,5213,1847,1750,,前置前驱
沃尔沃S60 2013款 T5 智雅版(进口),沃尔沃(进口),2013-05,10.77,自动,2.0T,11.32,37.20,北京,2013款,中型,0,214马力,汽油,4628,1865,1484,,前置前驱
大众 高尔夫 2011款 1.4TSI 自动舒适型,一汽-大众,2012-09,6.68,自动,1.4T,7.09,16.30,北京,2011款,紧凑型,0,131马力,汽油,4199,1786,1479,,前置前驱
现代 索纳塔八 2013款 2.0L 自动尊贵版,北京现代,2013-09,5.41,自动,2.0L,8.04,21.60,北京,2013款,中型,0,162马力,汽油,4820,1835,1475,,前置前驱
Jeep 指南者 2014款 改款 2.0L 两驱进取版(进口),Jeep(进口),2013-12,7.14,自动,2.0L,9.01,24.10,北京,2014款,紧凑型,1,156马力,汽油,4448,1812,1663,,前置前驱
大众 帕萨特 2014款 1.8TSI DSG御尊导航版,上汽大众,2015-08,7.36,自动,1.8T,14.26,26.40,北京,2014款,中型,0,160马力,汽油,4870,1834,1472,,前置前驱
大众 迈腾 2012款 改款 2.0TSI 至尊型,一汽-大众,2012-06,13.36,自动,2.0T,10.76,31.80,北京,2012款,中型,0,200马力,汽油,4865,1820,1475,,前置前驱
大众 捷达 2015款 1.6L 自动舒适型,一汽-大众,2014-10,7.69,自动,1.6L,5.57,11.80,北京,2015款,紧凑型,0,110马力,汽油,4487,1706,1470,,前置前驱
现代 新胜达 2011款 2.4 豪华版 七座两驱(进口),现代(进口),2011-08,9.21,自动,2.4L,7.61,7.98,北京,2011款,中型,1,174马力,汽油,4660,1890,1760,,前置前驱
日产 天籁 2011款 2.5L XL荣耀版,东风日产,2012-06,13.44,自动,2.5L,8.66,26.60,北京,2011款,中型,0,185马力,汽油,4850,1795,1475,,前置前驱
别克 君越 2012款 2.4L SIDI舒适版,上汽通用别克,2012-10,6.27,自动,2.4L,8.67,9.04,北京,2012款,中型,0,186马力,汽油,5000,1858,1497,,前置前驱
东风风行 菱智 2014款 M3 1.6L 7座舒适型,东风风行,2015-03,4.81,手动,1.6L,3.11,7.80,北京,2014款,MPV,0,113马力,汽油,4645,1695,1940,,前置后驱
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,长安福特,2014-10,9.24,自动,1.5T,10.00,20.60,北京,2013款,中型,0,181马力,汽油,4860,1854,1480,,前置前驱
斯柯达 昕动 2016款 改款 1.6L 手动创行版,上汽斯柯达,2016-04,4.81,手动,1.6L,5.03,9.80,北京,2016款,紧凑型,0,110马力,汽油,4304,1706,1475,,前置前驱
别克 英朗 2012款 XT 1.6T 时尚运动版,上汽通用别克,2011-11,7.36,自动,1.6T,5.10,5.4,北京,2012款,紧凑型,0,184马力,汽油,4419,1814,1487,,前置前驱
别克 英朗 2010款 XT 1.6T 时尚运动版,上汽通用别克,2011-04,5.5,自动,1.6T,4.80,18.60,北京,2010款,紧凑型,0,184马力,汽油,4419,1814,1487,,前置前驱
宝马X5 2011款 xDrive35i 领先型(进口),宝马(进口),2012-01,14.28,自动,3.0T,24.04,24.39,北京,2011款,中大型,1,306马力,汽油,4857,1933,1776,,前置四驱
标致3008 2015款 1.6THP 自动至尚版,东风标致,2016-01,6.68,自动,1.6T,9.50,24.00,北京,2015款,紧凑型,1,167马力,汽油,4428,1840,1652,,前置前驱
北汽绅宝 绅宝D50 2015款 1.5L CVT标准超值导航版,北京汽车,2015-10,1.78,自动,1.5L,4.10,9.70,北京,2015款,紧凑型,0,113马力,汽油,4582,1794,1486,,前置前驱
起亚K5 2012款 2.0L 自动DLX,东风悦达起亚,2013-11,9.38,自动,2.0L,8.00,20.50,北京,2012款,中型,0,162马力,汽油,4845,1830,1460,,前置前驱
东风风行 菱智 2018款 M5L 2.0L 7座舒适型,东风风行,2017-12,2.14,手动,2.0L,6.18,9.20,北京,2018款,MPV,0,147马力,汽油,5145,1720,1960,,前置后驱
丰田 RAV4 2011款 2.4L 自动四驱至臻版,一汽丰田,2012-03,10.33,自动,2.4L,10.15,28.20,北京,2011款,紧凑型,1,170马力,汽油,4630,1855,1720,,前置四驱
别克 君越 2013款 2.4L SIDI精英舒适型,上汽通用别克,2014-01,5.08,自动,2.4L,12.31,27.80,北京,2013款,中型,0,186马力,汽油,5005,1858,1500,,前置前驱
大众 朗逸 2011款 1.4TSI 手动品雅版,上汽大众,2012-05,11.09,手动,1.4T,4.30,14.40,北京,2011款,紧凑型,0,131马力,汽油,4608,1743,1465,,前置前驱
本田 锋范经典 2012款 1.5L 自动精英版,广汽本田,2012-12,9.41,自动,1.5L,5.17,11.90,北京,2012款,小型,0,120马力,汽油,4422,1695,1470,,前置前驱
北汽绅宝 绅宝D50 2014款 1.5L 手动舒适版,北京汽车,2016-03,4.27,手动,1.5L,3.48,8.90,北京,2014款,紧凑型,0,113马力,汽油,4582,1794,1486,,前置前驱
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,长安福特,2014-03,3.09,自动,1.5T,10.24,10.42,北京,2013款,中型,0,181马力,汽油,4860,1854,1480,,前置前驱
福特 福克斯 2012款 两厢 1.6L 自动风尚型,长安福特,2013-04,1.64,自动,1.6L,6.16,6.26,北京,2012款,紧凑型,0,125马力,汽油,4368,1823,1483,,前置前驱
