num,class,chn,math,eng,phy,chem,politics,bio,history,geo,pe
0273,5,68.5,112,82,63.7,26.5,31.5,44,34,47.5,56
0160,3,78,105,79,63.7,37.5,31,44.5,27,44,56
0521,9,74.5,101,88.5,54.6,26.5,41.5,46,31,46,56
0363,6,86,91,85,51.8,29.5,45.5,34,42.5,44,56
0268,5,76,108,51,60.9,43.25,40,43.5,41,45.5,56
0110,2,93,93,86,51.1,28.5,41.5,44.5,36,43.5,48
0412,7,78.5,94,79.5,52.5,42,39,43,37,43,56
0254,4,83,100,79,49.7,37.75,40,39.5,33.5,46,56
0030,1,75,83,91,51.1,34.5,40,45,41,47.5,56
0328,6,83,103,67.5,55.3,33,42.5,41,41.5,45,52
0543,9,79.5,84,97,50.4,32.25,40.5,41,34.5,43,60
0306,5,80.5,93,89.5,52.5,32.75,42.5,41.5,32,40.5,56
0533,9,78,94,90,65.1,39.75,30.5,46,29.5,39,48
0594,10,78.5,85,86,58.1,41.25,35,44.5,32.5,42.5,56
0324,6,80,87,92.5,57.4,30.75,41.5,45,32.5,44.5,48
0482,8,88.5,91,78,52.5,33,45.5,39,37.5,45.5,48
0647,7,82,88,83.5,53.9,31.25,43.5,42.5,38,47,48
0147,3,77.5,90,95,49.7,30.5,42,44,31.5,44.5,52
0018,1,80,90,86,53.9,35.25,40.5,44,33.5,41.5,52
0313,5,95,111,67.5,45.5,20.5,39,43.5,38.5,42.5,52
