,Name,Sex,Age,Height,Weight
703,Arthur Abele,M,22.0,184.0,85.0
705,Ruth Abeles,F,18.0,153.0,48.0
710,"Louis Grenville ""Lou"" Abell",M,15.0,,
712,Jos Javier Abella Fanjul,M,22.0,176.0,66.0
713,Ramn Neptuno Abella Caside,M,26.0,,
714,Ral Daniel Abella,M,26.0,,
717,Alfonso Abelln Lpez,M,37.0,174.0,63.0
718,Juan Luis Abelln Pallahi,M,19.0,,
719,Edwige Marie Abna Fouda,F,23.0,173.0,61.0
720,Gezahgne Abera,M,22.0,166.0,58.0
721,Tesfaye Abera Dibaba,M,24.0,192.0,68.0
722,Hugo Ral Aberastegui,M,27.0,186.0,84.0
725,Arvid berg,M,26.0,,
726,Bjrn Olof Conny berg,M,23.0,181.0,76.0
727,Nils Georg berg,M,19.0,181.0,78.0
729,Sara Helena berg,F,17.0,190.0,73.0
730,Karl Konrad berg,M,22.0,,
731,Majken berg,F,30.0,170.0,60.0
732,"Olof Viktor ""Olle"" berg",M,27.0,181.0,78.0
733,Mohamed Aberhoune,M,23.0,187.0,75.0
734,"Julianne ""Anne"" Abernathy",F,34.0,165.0,75.0
739,Michael Brent Abernathy,M,22.0,182.0,84.0
740,Moira Abernethy (-Ford),F,17.0,,
742,Salim Abes,M,25.0,,
743,Edme Abetel (-Barr),F,29.0,,
744,Pasqualino Abeti,M,24.0,173.0,66.0
745,Elvan Abeylegesse,F,21.0,159.0,40.0
749,Ruwani Abeymanne,F,30.0,160.0,53.0
751,Matthew Duncan Abeysinghe,M,20.0,180.0,74.0
752,Narek Abgaryan,M,24.0,166.0,52.0
753,Koutoua Francis Abia,M,26.0,180.0,80.0
757,Pablo Abin Vicen,M,23.0,177.0,68.0
760,David Abibssira,M,21.0,179.0,63.0
761,Silke Abicht,F,19.0,156.0,46.0
762,Haithem Abid,M,22.0,179.0,72.0
763,Younis Abid Sadkhan,M,18.0,,
764,Jaiye Abidoye,M,30.0,,
766,Sagat Abikeyeva,F,27.0,160.0,78.0
767,Mitsuhiro Abiko,M,19.0,169.0,62.0
768,Tomomi Abiko,F,24.0,173.0,53.0
769,"Catherine ""Kate"" Abilla Awino",F,27.0,162.0,56.0
770,Ismail Abilov (-Nizamolu),M,25.0,172.0,82.0
772,Camille Anne Franoise Abily,F,27.0,168.0,60.0
774,Endurance Abinuwa,F,24.0,159.0,54.0
775,Bode Abiodun,M,35.0,170.0,68.0
776,Firmin Abissi,M,28.0,159.0,54.0
778,Sarah Abitbol,F,22.0,150.0,43.0
779,Inga Eduardovna Abitova,F,26.0,164.0,58.0
780,Ceyhun Abiyev,M,29.0,163.0,48.0
