Direction,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Year
南北,有电梯,高楼层(共35层),大同花园南区,172,3室2厅,1230.0,黄浦,简装,153.74,1995.0
西南,,低楼层(共31层),尚海湾豪庭,173,3室2厅,1299.0,徐汇,精装,144.87,1995.0
南西南,有电梯,低楼层(共35层),江临天下,174,4室2厅,1500.0,浦东,精装,165.73,1995.0
南北,有电梯,高楼层(共14层),祥源福邸,175,2室2厅,355.0,嘉定,精装,86.18,1995.0
南北,有电梯,高楼层(共9层),玉华东苑,176,3室2厅,600.0,宝山,精装,118.95,1995.0
南,有电梯,中楼层(共26层),仁恒河滨城(三期),177,2室2厅,1170.0,浦东,精装,112.69,1995.0
南北,有电梯,中楼层(共20层),大宁金茂府,178,3室2厅,1580.0,闸北,精装,159.86,1995.0
南,有电梯,低楼层(共15层),当代清水园,179,3室2厅,1288.9,浦东,精装,135.56,1995.0
南,有电梯,低楼层(共16层),大华锦绣华城(十八街区)(公寓),180,2室2厅,646.0,浦东,简装,82.88,1995.0
南,无电梯,高楼层(共6层),华高二村,181,1室1厅,230.0,浦东,简装,54.05,1995.0
南,有电梯,高楼层(共35层),国信世纪海景,182,3室2厅,2350.0,浦东,精装,235.69,1995.0
暂无数据,无电梯,高楼层(共6层),通海一小区,183,2室1厅,210.0,闵行,简装,70.53,1995.0
南北,有电梯,高楼层(共18层),龙湖郦城,184,3室2厅,442.0,嘉定,其他,104.69,1995.0
南,有电梯,高楼层(共18层),古北御庭,185,2室2厅,1010.0,浦东,精装,104.93,1995.0
南,无电梯,低楼层(共6层),竹园小区(嘉定),186,2室1厅,228.0,嘉定,精装,75.96,1995.0
南北,有电梯,低楼层(共22层),好世皇马苑,187,2室2厅,335.0,嘉定,精装,83.55,1995.0
南,有电梯,低楼层(共43层),盛大金磐,188,3室2厅,2300.0,浦东,精装,194.28,1995.0
南,有电梯,高楼层(共16层),佳信都市花园(公寓),189,7室2厅,1880.0,长宁,简装,261.11,1995.0
东南,有电梯,中楼层(共21层),延平大厦,190,2室2厅,860.0,静安,精装,116.27,1995.0
南,,高楼层(共7层),静安恬园,191,3室2厅,849.0,静安,精装,137.25,1995.0
南,有电梯,中楼层(共16层),环球翡翠湾花园(公寓),192,2室2厅,550.0,浦东,精装,94.46,1995.0
南,有电梯,中楼层(共12层),经纬阳光水岸家园(一期),193,1室2厅,305.0,宝山,精装,60.14,1995.0
南,有电梯,低楼层(共33层),中凯城市之光(徐汇),194,4室2厅,4500.0,徐汇,精装,403.91,1995.0
南,有电梯,低楼层(共25层),临沂大楼,195,2室2厅,510.0,浦东,其他,88.27,1995.0
南,无电梯,低楼层(共6层),申江豪城,196,2室2厅,570.0,浦东,简装,91.22,1995.0
南,有电梯,低楼层(共11层),大华清水湾,197,4室2厅,1400.0,普陀,简装,193.73,1995.0
南北,有电梯,高楼层(共13层),印象春城,198,2室2厅,405.0,浦东,简装,89.95,1995.0
南,无电梯,高楼层(共6层),沁秋小区,199,2室1厅,275.0,长宁,精装,50.54,1995.0
南,有电梯,低楼层(共20层),江临天下,200,3室2厅,1150.0,浦东,精装,129.75,1995.0
西北,无电梯,低楼层(共6层),香楠小区,201,2室1厅,355.0,浦东,精装,71.76,1995.0
南,有电梯,低楼层(共23层),虹桥衡园,202,3室2厅,950.0,闵行,精装,147.15,1995.0
南,有电梯,高楼层(共33层),城市方园,203,2室1厅,330.0,杨浦,精装,69.81,1995.0
南,有电梯,低楼层(共16层),金桥瑞仕花园,204,3室3厅,1600.0,浦东,精装,292.31,1995.0
南,有电梯,低楼层(共30层),尚海湾豪庭,205,5室2厅,2750.0,徐汇,精装,267.79,1995.0
南,有电梯,中楼层(共18层),永兆豪庭,206,3室2厅,850.0,徐汇,毛坯,128.36,1995.0
南,无电梯,高楼层(共6层),紫叶花园,207,1室1厅,240.0,浦东,简装,48.3,1995.0
南,有电梯,高楼层(共24层),东上海中心,208,2室1厅,620.0,杨浦,精装,85.97,1995.0
南,无电梯,高楼层(共6层),沁秋小区,209,2室1厅,330.0,长宁,精装,58.9,1995.0
南,无电梯,高楼层(共6层),汪家井小区,210,1室1厅,212.0,普陀,精装,45.57,1995.0
南,有电梯,低楼层(共29层),馨宁公寓,211,1室0厅,240.0,徐汇,其他,42.29,1995.0
南,无电梯,中楼层(共4层),永嘉新村,212,2室1厅,1090.0,徐汇,精装,89.3,1995.0
南,有电梯,低楼层(共20层),中海御景熙岸(公寓),213,3室2厅,393.0,浦东,精装,88.82,1995.0
南,无电梯,高楼层(共6层),紫荆新苑,214,3室2厅,840.0,黄浦,简装,119.04,1995.0
南北,有电梯,高楼层(共24层),四和花园,215,3室1厅,808.0,静安,精装,94.63,1995.0
南,无电梯,中楼层(共5层),同润加州(公寓),216,3室2厅,415.0,松江,毛坯,136.84,1995.0
南,无电梯,低楼层(共4层),祝和苑,217,1室1厅,150.0,浦东,其他,53,1995.0
南,,高楼层(共29层),荣和怡景园,218,2室1厅,340.0,普陀,精装,65,1995.0
南北,无电梯,高楼层(共6层),四平路幸福村,219,2室1厅,325.0,虹口,精装,55.52,1995.0
南,,高楼层(共18层),同润蓝美俊庭,220,2室2厅,185.0,浦东,毛坯,92.46,1995.0
南,有电梯,中楼层(共11层),中鼎豪园,221,3室2厅,715.0,普陀,毛坯,138.32,1995.0
南,有电梯,中楼层(共21层),香梅花园,222,3室2厅,1300.0,浦东,精装,159.01,1995.0
南西北,有电梯,中楼层(共17层),保利叶语(二期)(公寓),223,4室2厅,620.0,宝山,毛坯,123.42,1995.0
南,有电梯,高楼层(共14层),浦润苑,224,2室2厅,256.0,闵行,毛坯,82.94,1995.0
南,,高楼层(共6层),佳乐苑,225,3室2厅,309.0,青浦,毛坯,124.34,1995.0
南,无电梯,中楼层(共6层),樱花坊,226,2室2厅,625.0,浦东,简装,77.49,1995.0
南北,无电梯,中楼层(共7层),泰宸苑,227,2室2厅,470.0,普陀,精装,86,1995.0
南,有电梯,高楼层(共22层),爱家亚洲花园,228,2室2厅,750.0,浦东,简装,118.88,1995.0
南北,无电梯,高楼层(共6层),杉林新月环林东路879弄,229,3室1厅,345.0,浦东,简装,74.44,1995.0
南,,高楼层(共26层),翔和雅苑,230,2室2厅,250.0,嘉定,毛坯,70.46,1995.0
南北,有电梯,中楼层(共11层),新浦江城(江栀路350弄),231,2室2厅,530.0,闵行,毛坯,89.69,1995.0
南北,有电梯,中楼层(共28层),金瓯万国大厦,232,3室2厅,1050.0,黄浦,精装,126.32,1995.0
南,有电梯,高楼层(共19层),米兰诺贵都,233,2室2厅,310.0,松江,精装,87.53,1995.0
南,,高楼层(共18层),翔和雅苑,234,2室1厅,255.0,嘉定,毛坯,69.6,1995.0
南,有电梯,中楼层(共14层),浦润苑,235,2室2厅,261.0,闵行,毛坯,80.22,1995.0
南北,有电梯,低楼层(共11层),永泰花苑,236,2室1厅,348.0,浦东,简装,73.16,1995.0
南,,高楼层(共8层),保集澜湾(公寓),237,3室2厅,645.0,浦东,毛坯,123.33,1995.0
南,有电梯,低楼层(共20层),绿地清猗园(威廉公馆),238,2室2厅,410.0,嘉定,毛坯,86.99,1995.0
南,无电梯,低楼层(共6层),景峰苑,239,2室1厅,310.0,上海周边,简装,61.59,1995.0
南,有电梯,低楼层(共18层),嘉秀新苑,240,2室2厅,420.0,嘉定,简装,85.89,1995.0
南,无电梯,高楼层(共6层),昕泰苑,241,3室2厅,710.0,浦东,其他,135.48,1995.0
南,有电梯,中楼层(共13层),保利金爵公寓,242,3室1厅,440.0,浦东,其他,83.36,1995.0
南,有电梯,低楼层(共18层),大华锦绣华城(四街区),243,2室2厅,550.0,浦东,毛坯,94.37,1995.0
南北,有电梯,中楼层(共11层),城中花园,244,3室2厅,520.0,浦东,精装,122.2,1995.0
东南,有电梯,中楼层(共33层),新湖明珠城,245,3室2厅,1330.0,普陀,毛坯,179.91,1995.0
南北,有电梯,高楼层(共19层),达安花园,246,3室2厅,898.0,静安,精装,121.11,1995.0
南,有电梯,中楼层(共24层),鑫隆花园,247,2室1厅,415.0,徐汇,其他,89.87,1995.0
南,无电梯,高楼层(共6层),证大家园(二期),248,2室2厅,589.0,浦东,精装,84.52,1995.0
东南,有电梯,低楼层(共26层),阳光威尼斯(三期),249,2室1厅,315.0,普陀,简装,77.95,1995.0
南,有电梯,低楼层(共14层),经纬学府涵青花园(二期),250,2室2厅,416.0,宝山,精装,95.28,1995.0
南,有电梯,中楼层(共18层),莱顿小城,251,2室2厅,280.0,松江,精装,85.78,1995.0
西,有电梯,高楼层(共49层),世茂滨江花园,252,3室2厅,2190.0,浦东,精装,237.93,1995.0
南,有电梯,低楼层(共14层),上海绿城,253,3室2厅,1000.0,浦东,精装,125.61,1995.0
