title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
奇瑞 艾瑞泽7 2015款 1.6L 手动致尚版,奇瑞汽车,2015-12,4.95,手动,1.6L,3.93,4.03,深圳,2015款,紧凑型,0,126马力,汽油,4652,1825,1483,,前置前驱
宝马1系 2013款 改款 118i 领先型(进口),宝马(进口),2014-10,5.15,自动,1.6T,14.00,31.70,深圳,2013款,紧凑型,0,170马力,汽油,4324,1765,1458,,前置后驱
福特 金牛座 2015款 EcoBoost 245 豪华型,长安福特,2016-02,4.81,自动,2.0T,15.42,29.20,深圳,2015款,中型,0,245马力,汽油,4996,1878,1503,,前置前驱
宝骏730 2014款 1.5L 手动舒适ESP版 7座,上汽通用五菱,2015-11,4.56,手动,1.5L,4.80,8.20,深圳,2014款,MPV,0,112马力,汽油,4685,1785,1745,,前置前驱
别克 英朗 2012款 XT 1.6L 自动时尚版,上汽通用别克,2013-05,5.87,自动,1.6L,5.50,16.30,深圳,2012款,紧凑型,0,121马力,汽油,4419,1814,1487,,前置前驱
福特 福克斯 2012款 三厢 1.6L 自动舒适型,长安福特,2012-09,10.11,自动,1.6L,4.71,4.89,深圳,2012款,紧凑型,0,125马力,汽油,4534,1823,1483,,前置前驱
大众 宝来 2013款 1.6L 自动舒适型,一汽-大众,2013-05,5.19,自动,1.6L,6.13,13.90,深圳,2013款,紧凑型,0,105马力,汽油,4523,1775,1467,,前置前驱
大众 凌渡 2015款 280TSI DSG舒适版,上汽大众,2015-06,2.3,自动,1.4T,12.11,20.00,深圳,2015款,紧凑型,0,150马力,汽油,4598,1826,1425,,前置前驱
别克 君越 2013款 2.4L SIDI领先舒适型,上汽通用别克,2015-05,6.47,自动,2.4L,11.00,25.60,深圳,2013款,中型,0,186马力,汽油,5005,1858,1500,,前置前驱
日产 骊威 2010款 劲锐版 1.6L 自动标准型,东风日产,2011-12,7.91,自动,1.6L,3.98,11.90,深圳,2010款,小型,0,105马力,汽油,4275,1730,1615,,前置前驱
斯柯达 明锐 2013款 2.0L 自动逸杰版,上汽斯柯达,2012-11,8.08,自动,2.0L,4.65,4.85,深圳,2013款,紧凑型,0,120马力,汽油,4569,1769,1462,,前置前驱
丰田 威驰 2014款 1.5L 自动智臻版,一汽丰田,2014-08,8.15,自动,1.5L,5.07,5.22,深圳,2014款,小型,0,107马力,汽油,4410,1700,1490,,前置前驱
别克 英朗 2013款 GT 1.6L 自动时尚版,上汽通用别克,2013-03,8.21,自动,1.6L,5.09,5.37,深圳,2013款,紧凑型,0,121马力,汽油,4671,1815,1478,,前置前驱
现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,北京现代,2013-07,11.77,自动,2.0L,8.00,21.40,深圳,2013款,紧凑型,1,165马力,汽油,4420,1820,1690,,前置前驱
哈弗H6 2015款 运动版 1.5T 手动两驱精英型,长城汽车,2016-03,2.84,手动,1.5T,6.77,13.40,深圳,2015款,紧凑型,1,150马力,汽油,4649,1852,1710,,前置前驱
比亚迪S6 2013款 白金版 2.0L 手动豪华型,比亚迪,2013-08,8.84,手动,2.0L,2.80,8.70,深圳,2013款,中型,1,140马力,汽油,4810,1855,1680,,前置前驱
大众 途观 2016款 300TSI 自动两驱舒适版,上汽大众,2016-09,5.91,自动,1.8T,14.45,25.80,深圳,2016款,紧凑型,1,160马力,汽油,4506,1809,1685,,前置前驱
雪佛兰 探界者 2017款 550T 自动四驱拓界版,上汽通用雪佛兰,2017-10,2.91,自动,2.0T,15.24,15.82,深圳,2017款,中型,1,260马力,汽油,4652,1843,1693,,前置四驱
奔驰CLA级 2017款 改款 CLA 200 动感型(进口),奔驰(进口),2017-02,0.32,自动,1.6T,21.91,29.20,深圳,2017款,紧凑型,0,156马力,汽油,4645,1777,1417,,前置前驱
本田 飞度 2011款 1.3L 自动舒适版,广汽本田,2013-01,5.25,自动,1.3L,4.69,9.70,深圳,2011款,小型,0,99马力,汽油,3900,1695,1525,,前置前驱
丰田 雷凌 2017款 改款双擎 1.8H GS CVT精英天窗版,广汽丰田,2017-09,2.77,自动,1.8L,11.47,11.93,深圳,2017款,紧凑型,0,99马力,油电混合,4630,1775,1485,,前置前驱
丰田 凯美瑞 2010款 200E 精英版,广汽丰田,2011-03,13.85,自动,2.0L,7.95,19.80,深圳,2010款,中型,0,147马力,汽油,4825,1820,1485,,前置前驱
别克 凯越 2013款 1.5L 自动经典型,上汽通用别克,2013-07,6.33,自动,1.5L,3.94,4.09,深圳,2013款,紧凑型,0,113马力,汽油,4515,1725,1445,,前置前驱
本田 冠道 2017款 370TURBO 两驱豪华版,广汽本田,2016-12,2.45,自动,2.0T,21.98,22.44,深圳,2017款,中型,1,272马力,汽油,4816,1942,1669,,前置前驱
斯柯达 昕锐 2013款 1.6L 手动智选型,上汽斯柯达,2014-06,6.06,手动,1.6L,4.20,10.40,深圳,2013款,紧凑型,0,110马力,汽油,4501,1706,1469,,前置前驱
大众 帕萨特 2013款 1.4TSI DSG蓝驱版,上汽大众,2012-12,6.18,自动,1.4T,8.90,9.19,深圳,2013款,中型,0,131马力,汽油,4870,1834,1472,,前置前驱
福特 翼搏 2013款 1.5L 手动舒适型,长安福特,2014-10,2.88,手动,1.5L,4.42,4.64,深圳,2013款,小型,1,110马力,汽油,4280,1785,1638,,前置前驱
荣威360 2015款 1.5L 自动豪华版,上汽集团,2016-10,2.55,自动,1.5L,5.65,9.80,深圳,2015款,紧凑型,0,109马力,汽油,4579,1804,1490,,前置前驱
丰田 YARiS L 致炫 2015款 1.5E 自动魅动版,广汽丰田,2015-11,2.07,自动,1.5L,5.60,9.30,深圳,2015款,小型,0,107马力,汽油,4115,1700,1495,,前置前驱
日产 轩逸 2012款 经典 1.6XE 手动舒适版,东风日产,2015-08,4.87,手动,1.6L,4.96,5.1,深圳,2012款,紧凑型,0,117马力,汽油,4665,1700,1505,,前置前驱
宝马5系 2014款 525Li 豪华设计套装,华晨宝马,2015-04,3.04,自动,2.0T,30.13,54.20,深圳,2014款,中大型,0,218马力,汽油,5055,1860,1491,,前置后驱
奥迪Q5 2013款 40 TFSI 技术型,一汽-大众奥迪,2014-08,11.53,自动,2.0T,20.94,46.40,深圳,2013款,中型,1,211马力,汽油,4629,1898,1655,,前置四驱
比亚迪 秦 2015款 1.5T 双冠旗舰Plus版,比亚迪,2017-08,2.33,自动,1.5T,8.80,23.90,深圳,2015款,紧凑型,0,154马力,插电式混合动力,4740,1770,1480,,前置前驱
宝骏730 2014款 1.5L 手动豪华导航ESP版 7座,上汽通用五菱,2015-05,4.97,手动,1.5L,5.30,9.00,深圳,2014款,MPV,0,112马力,汽油,4685,1785,1745,,前置前驱
大众 捷达 2015款 质惠版 1.6L 自动舒适型,一汽-大众,2016-10,2.84,自动,1.6L,6.78,11.50,深圳,2015款,紧凑型,0,110马力,汽油,4487,1706,1470,,前置前驱
宝骏560 2015款 1.8L 手动豪华型,上汽通用五菱,2015-12,3.62,手动,1.8L,5.50,9.70,深圳,2015款,紧凑型,1,137马力,汽油,4620,1820,1750,,前置前驱
福特 福克斯 2012款 两厢 1.6L 自动风尚型,长安福特,2015-03,2.14,自动,1.6L,7.00,15.60,深圳,2012款,紧凑型,0,125马力,汽油,4368,1823,1483,,前置前驱
日产 轩逸 2012款 经典 1.6XE 手动舒适版,东风日产,2014-12,6.41,手动,1.6L,5.00,10.80,深圳,2012款,紧凑型,0,117马力,汽油,4665,1700,1505,,前置前驱
大众 宝来 2008款 1.6L 自动时尚型,一汽-大众,2009-12,14.51,自动,1.6L,3.50,13.00,深圳,2008款,紧凑型,0,100马力,汽油,4540,1775,1467,,前置前驱
丰田 凯美瑞 2013款 200E 经典精英版,广汽丰田,2014-11,10.81,自动,2.0L,11.00,19.80,深圳,2013款,中型,0,147马力,汽油,4825,1820,1485,,前置前驱
东风风神H30 2013款 CROSS 1.5L 自动尊尚型,东风乘用车,2013-08,6.69,自动,1.5L,3.18,9.30,深圳,2013款,紧凑型,0,116马力,汽油,4351,1760,1528,,前置前驱
起亚K3 2013款 1.6L 自动GLS,东风悦达起亚,2015-06,5.63,自动,1.6L,7.50,13.50,深圳,2013款,紧凑型,0,128马力,汽油,4600,1780,1445,,前置前驱
别克 凯越 2013款 1.5L 自动经典型,上汽通用别克,2015-01,6.1,自动,1.5L,5.00,11.10,深圳,2013款,紧凑型,0,113马力,汽油,4515,1725,1445,,前置前驱
福特 福克斯 2013款 三厢经典 1.8L 手动基本型,长安福特,2014-01,6.95,手动,1.8L,3.60,10.80,深圳,2013款,紧凑型,0,124马力,汽油,4480,1840,1500,,前置前驱
标致308 2014款 乐享版 经典 1.6L 自动优尚型,东风标致,2016-06,3.64,自动,1.6L,6.25,12.60,深圳,2014款,紧凑型,0,117马力,汽油,4558,1805,1505,,前置前驱
