title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
别克 英朗 2012款 GT 1.6L 手动进取版,上汽通用别克,2012-06,10.75,手动,1.6L,3.88,14.90,上海,2012款,紧凑型,0,121马力,汽油,4671,1815,1478,,前置前驱
雪佛兰 科鲁兹 2013款 1.6L SE MT,上汽通用雪佛兰,2014-06,6.45,手动,1.6L,4.39,13.00,上海,2013款,紧凑型,0,121马力,汽油,4598,1797,1477,,前置前驱
现代 瑞纳 2014款 1.4L 手动智能型GLS,北京现代,2015-02,5.45,手动,1.4L,3.50,8.60,上海,2014款,小型,0,107马力,汽油,4375,1700,1460,,前置前驱
雪佛兰 科鲁兹 2013款 掀背 1.6L 自动豪华型,上汽通用雪佛兰,2014-04,3.66,自动,1.6L,5.30,14.50,上海,2013款,紧凑型,0,121马力,汽油,4510,1797,1477,,前置前驱
雪佛兰 迈锐宝 2013款 2.0L 自动豪华版,上汽通用雪佛兰,2013-10,8.19,自动,2.0L,7.12,7.18,上海,2013款,中型,0,154马力,汽油,4869,1854,1472,,前置前驱
本田 雅阁 2015款 2.0L LX 舒适版,广汽本田,2015-09,4.09,自动,2.0L,12.98,19.50,上海,2015款,中型,0,155马力,汽油,4930,1845,1470,,前置前驱
大众 帕萨特 2011款 1.8TSI DSG尊荣版,上汽大众,2012-06,7.45,自动,1.8T,9.48,9.86,上海,2011款,中型,0,160马力,汽油,4870,1834,1472,,前置前驱
大众POLO 2014款 1.6L Cross POLO 自动,上汽大众,2014-09,4.88,自动,1.6L,6.36,12.80,上海,2014款,小型,0,110马力,汽油,3987,1705,1486,,前置前驱
福特 翼虎 2013款 1.6L GTDi 两驱风尚型,长安福特,2014-04,5.25,自动,1.6T,9.94,10.43,上海,2013款,紧凑型,1,177马力,汽油,4524,1838,1685,,前置前驱
路虎 发现神行 2016款 2.0T S,奇瑞捷豹路虎,2017-12,1.32,自动,2.0T,24.59,39.90,上海,2016款,中型,1,241马力,汽油,4599,1894,1724,,前置四驱
福特 蒙迪欧-致胜 2011款 2.0L GTDi200豪华型,长安福特,2012-04,5.89,自动,2.0T,7.44,23.60,上海,2011款,中型,0,203马力,汽油,4854,1886,1495,,前置前驱
现代 索纳塔八 2011款 2.0L 自动豪华版,北京现代,2012-09,7.36,自动,2.0L,7.06,7.3,上海,2011款,中型,0,165马力,汽油,4820,1835,1475,,前置前驱
大众 夏朗 2013款 1.8TSI 标配型(进口),大众(进口),2014-04,14.75,自动,1.8T,11.86,12.17,上海,2013款,MPV,0,160马力,汽油,4854,1904,1740,,前置前驱
凯迪拉克ATS-L 2016款 28T 技术型,上汽通用凯迪拉克,2017-11,4.15,自动,2.0T,17.53,32.40,上海,2016款,中型,0,279马力,汽油,4730,1824,1426,,前置后驱
